NUMERO,NOM,TYPE_1,TYPE_2,POINTS_DE_VIE,NIVEAU_ATTAQUE,NIVEAU_DEFENSE,NIVEAU_ATTAQUE_SPECIALE,NIVEAU_DEFENSE_SPECIALE,VITESSE,GENERATION,LEGENDAIRE
212,Scizor,Bug,Steel,70,130,100,55,80,65,2,0
213,Shuckle,Bug,Rock,20,10,230,10,230,5,2,0
214,Heracross,Bug,Fighting,80,125,75,40,95,85,2,0
215,Sneasel,Dark,Ice,55,95,55,35,75,115,2,0
216,Teddiursa,Normal,,60,80,50,50,50,40,2,0
217,Ursaring,Normal,,90,130,75,75,75,55,2,0
218,Slugma,Fire,,40,40,40,70,40,20,2,0
219,Magcargo,Fire,Rock,50,50,120,80,80,30,2,0
220,Swinub,Ice,Ground,50,50,40,30,30,50,2,0
221,Piloswine,Ice,Ground,100,100,80,60,60,50,2,0
222,Corsola,Water,Rock,55,55,85,65,85,35,2,0
223,Remoraid,Water,,35,65,35,65,35,65,2,0
224,Octillery,Water,,75,105,75,105,75,45,2,0
225,Delibird,Ice,Flying,45,55,45,65,45,75,2,0
226,Mantine,Water,Flying,65,40,70,80,140,70,2,0
227,Skarmory,Steel,Flying,65,80,140,40,70,70,2,0
228,Houndour,Dark,Fire,45,60,30,80,50,65,2,0
229,Houndoom,Dark,Fire,75,90,50,110,80,95,2,0
230,Kingdra,Water,Dragon,75,95,95,95,95,85,2,0
231,Phanpy,Ground,,90,60,60,40,40,40,2,0
232,Donphan,Ground,,90,120,120,60,60,50,2,0
233,Porygon2,Normal,,85,80,90,105,95,60,2,0
234,Stantler,Normal,,73,95,62,85,65,85,2,0
235,Smeargle,Normal,,55,20,35,20,45,75,2,0
236,Tyrogue,Fighting,,35,35,35,35,35,35,2,0
237,Hitmontop,Fighting,,50,95,95,35,110,70,2,0
238,Smoochum,Ice,Psychic,45,30,15,85,65,65,2,0
239,Elekid,Electric,,45,63,37,65,55,95,2,0
240,Magby,Fire,,45,75,37,70,55,83,2,0
241,Miltank,Normal,,95,80,105,40,70,100,2,0
242,Blissey,Normal,,255,10,10,75,135,55,2,0
243,Raikou,Electric,,90,85,75,115,100,115,2,1
244,Entei,Fire,,115,115,85,90,75,100,2,1
245,Suicune,Water,,100,75,115,90,115,85,2,1
246,Larvitar,Rock,Ground,50,64,50,45,50,41,2,0
247,Pupitar,Rock,Ground,70,84,70,65,70,51,2,0
248,Tyranitar,Rock,Dark,100,134,110,95,100,61,2,0
249,Lugia,Psychic,Flying,106,90,130,90,154,110,2,1
250,Ho-oh,Fire,Flying,106,130,90,110,154,90,2,1
251,Celebi,Psychic,Grass,100,100,100,100,100,100,2,0
252,Treecko,Grass,,40,45,35,65,55,70,3,0
253,Grovyle,Grass,,50,65,45,85,65,95,3,0
254,Sceptile,Grass,,70,85,65,105,85,120,3,0
255,Torchic,Fire,,45,60,40,70,50,45,3,0
256,Combusken,Fire,Fighting,60,85,60,85,60,55,3,0
257,Blaziken,Fire,Fighting,80,120,70,110,70,80,3,0
258,Mudkip,Water,,50,70,50,50,50,40,3,0
259,Marshtomp,Water,Ground,70,85,70,60,70,50,3,0
260,Swampert,Water,Ground,100,110,90,85,90,60,3,0
261,Poochyena,Dark,,35,55,35,30,30,35,3,0
262,Mightyena,Dark,,70,90,70,60,60,70,3,0
263,Zigzagoon,Normal,,38,30,41,30,41,60,3,0
264,Linoone,Normal,,78,70,61,50,61,100,3,0
265,Wurmple,Bug,,45,45,35,20,30,20,3,0
266,Silcoon,Bug,,50,35,55,25,25,15,3,0
267,Beautifly,Bug,Flying,60,70,50,100,50,65,3,0
268,Cascoon,Bug,,50,35,55,25,25,15,3,0
269,Dustox,Bug,Poison,60,50,70,50,90,65,3,0
270,Lotad,Water,Grass,40,30,30,40,50,30,3,0
271,Lombre,Water,Grass,60,50,50,60,70,50,3,0
272,Ludicolo,Water,Grass,80,70,70,90,100,70,3,0
273,Seedot,Grass,,40,40,50,30,30,30,3,0
274,Nuzleaf,Grass,Dark,70,70,40,60,40,60,3,0
275,Shiftry,Grass,Dark,90,100,60,90,60,80,3,0
276,Taillow,Normal,Flying,40,55,30,30,30,85,3,0
277,Swellow,Normal,Flying,60,85,60,50,50,125,3,0
278,Wingull,Water,Flying,40,30,30,55,30,85,3,0
279,Pelipper,Water,Flying,60,50,100,85,70,65,3,0
280,Ralts,Psychic,Fairy,28,25,25,45,35,40,3,0
281,Kirlia,Psychic,Fairy,38,35,35,65,55,50,3,0
282,Gardevoir,Psychic,Fairy,68,65,65,125,115,80,3,0
283,Surskit,Bug,Water,40,30,32,50,52,65,3,0
284,Masquerain,Bug,Flying,70,60,62,80,82,60,3,0
285,Shroomish,Grass,,60,40,60,40,60,35,3,0
286,Breloom,Grass,Fighting,60,130,80,60,60,70,3,0
287,Slakoth,Normal,,60,60,60,35,35,30,3,0
288,Vigoroth,Normal,,80,80,80,55,55,90,3,0
289,Slaking,Normal,,150,160,100,95,65,100,3,0
290,Nincada,Bug,Ground,31,45,90,30,30,40,3,0
291,Ninjask,Bug,Flying,61,90,45,50,50,160,3,0
292,Shedinja,Bug,Ghost,1,90,45,30,30,40,3,0
293,Whismur,Normal,,64,51,23,51,23,28,3,0
294,Loudred,Normal,,84,71,43,71,43,48,3,0
295,Exploud,Normal,,104,91,63,91,73,68,3,0
296,Makuhita,Fighting,,72,60,30,20,30,25,3,0
297,Hariyama,Fighting,,144,120,60,40,60,50,3,0
298,Azurill,Normal,Fairy,50,20,40,20,40,20,3,0
299,Nosepass,Rock,,30,45,135,45,90,30,3,0
300,Skitty,Normal,,50,45,45,35,35,50,3,0
301,Delcatty,Normal,,70,65,65,55,55,70,3,0
302,Sableye,Dark,Ghost,50,75,75,65,65,50,3,0
303,Mawile,Steel,Fairy,50,85,85,55,55,50,3,0
304,Aron,Steel,Rock,50,70,100,40,40,30,3,0
305,Lairon,Steel,Rock,60,90,140,50,50,40,3,0
306,Aggron,Steel,Rock,70,110,180,60,60,50,3,0
307,Meditite,Fighting,Psychic,30,40,55,40,55,60,3,0
308,Medicham,Fighting,Psychic,60,60,75,60,75,80,3,0
309,Electrike,Electric,,40,45,40,65,40,65,3,0
310,Manectric,Electric,,70,75,60,105,60,105,3,0
311,Plusle,Electric,,60,50,40,85,75,95,3,0
312,Minun,Electric,,60,40,50,75,85,95,3,0
313,Volbeat,Bug,,65,73,55,47,75,85,3,0
314,Illumise,Bug,,65,47,55,73,75,85,3,0
315,Roselia,Grass,Poison,50,60,45,100,80,65,3,0
316,Gulpin,Poison,,70,43,53,43,53,40,3,0
317,Swalot,Poison,,100,73,83,73,83,55,3,0
318,Carvanha,Water,Dark,45,90,20,65,20,65,3,0
319,Sharpedo,Water,Dark,70,120,40,95,40,95,3,0
320,Wailmer,Water,,130,70,35,70,35,60,3,0
321,Wailord,Water,,170,90,45,90,45,60,3,0
322,Numel,Fire,Ground,60,60,40,65,45,35,3,0
323,Camerupt,Fire,Ground,70,100,70,105,75,40,3,0
324,Torkoal,Fire,,70,85,140,85,70,20,3,0
325,Spoink,Psychic,,60,25,35,70,80,60,3,0
326,Grumpig,Psychic,,80,45,65,90,110,80,3,0
327,Spinda,Normal,,60,60,60,60,60,60,3,0
328,Trapinch,Ground,,45,100,45,45,45,10,3,0
329,Vibrava,Ground,Dragon,50,70,50,50,50,70,3,0
330,Flygon,Ground,Dragon,80,100,80,80,80,100,3,0
331,Cacnea,Grass,,50,85,40,85,40,35,3,0
332,Cacturne,Grass,Dark,70,115,60,115,60,55,3,0
333,Swablu,Normal,Flying,45,40,60,40,75,50,3,0
334,Altaria,Dragon,Flying,75,70,90,70,105,80,3,0
335,Zangoose,Normal,,73,115,60,60,60,90,3,0
336,Seviper,Poison,,73,100,60,100,60,65,3,0
337,Lunatone,Rock,Psychic,70,55,65,95,85,70,3,0
338,Solrock,Rock,Psychic,70,95,85,55,65,70,3,0
339,Barboach,Water,Ground,50,48,43,46,41,60,3,0
340,Whiscash,Water,Ground,110,78,73,76,71,60,3,0
341,Corphish,Water,,43,80,65,50,35,35,3,0
342,Crawdaunt,Water,Dark,63,120,85,90,55,55,3,0
343,Baltoy,Ground,Psychic,40,40,55,40,70,55,3,0
344,Claydol,Ground,Psychic,60,70,105,70,120,75,3,0
345,Lileep,Rock,Grass,66,41,77,61,87,23,3,0
346,Cradily,Rock,Grass,86,81,97,81,107,43,3,0
347,Anorith,Rock,Bug,45,95,50,40,50,75,3,0
348,Armaldo,Rock,Bug,75,125,100,70,80,45,3,0
349,Feebas,Water,,20,15,20,10,55,80,3,0
350,Milotic,Water,,95,60,79,100,125,81,3,0
351,Castform,Normal,,70,70,70,70,70,70,3,0
352,Kecleon,Normal,,60,90,70,60,120,40,3,0
353,Shuppet,Ghost,,44,75,35,63,33,45,3,0
354,Banette,Ghost,,64,115,65,83,63,65,3,0
355,Duskull,Ghost,,20,40,90,30,90,25,3,0
356,Dusclops,Ghost,,40,70,130,60,130,25,3,0
357,Tropius,Grass,Flying,99,68,83,72,87,51,3,0
358,Chimecho,Psychic,,65,50,70,95,80,65,3,0
359,Absol,Dark,,65,130,60,75,60,75,3,0
360,Wynaut,Psychic,,95,23,48,23,48,23,3,0
361,Snorunt,Ice,,50,50,50,50,50,50,3,0
362,Glalie,Ice,,80,80,80,80,80,80,3,0
363,Spheal,Ice,Water,70,40,50,55,50,25,3,0
364,Sealeo,Ice,Water,90,60,70,75,70,45,3,0
365,Walrein,Ice,Water,110,80,90,95,90,65,3,0
366,Clamperl,Water,,35,64,85,74,55,32,3,0
367,Huntail,Water,,55,104,105,94,75,52,3,0
368,Gorebyss,Water,,55,84,105,114,75,52,3,0
369,Relicanth,Water,Rock,100,90,130,45,65,55,3,0
370,Luvdisc,Water,,43,30,55,40,65,97,3,0
371,Bagon,Dragon,,45,75,60,40,30,50,3,0
372,Shelgon,Dragon,,65,95,100,60,50,50,3,0
373,Salamence,Dragon,Flying,95,135,80,110,80,100,3,0
374,Beldum,Steel,Psychic,40,55,80,35,60,30,3,0
375,Metang,Steel,Psychic,60,75,100,55,80,50,3,0
376,Metagross,Steel,Psychic,80,135,130,95,90,70,3,0
377,Regirock,Rock,,80,100,200,50,100,50,3,1
378,Regice,Ice,,80,50,100,100,200,50,3,1
379,Registeel,Steel,,80,75,150,75,150,50,3,1
380,Latias,Dragon,Psychic,80,80,90,110,130,110,3,1
381,Latios,Dragon,Psychic,80,90,80,130,110,110,3,1
382,Kyogre,Water,,100,100,90,150,140,90,3,1
383,Groudon,Ground,,100,150,140,100,90,90,3,1
384,Rayquaza,Dragon,Flying,105,150,90,150,90,95,3,1
385,Jirachi,Steel,Psychic,100,100,100,100,100,100,3,1
386,Deoxys Normal Forme,Psychic,,50,150,50,150,50,150,3,1
387,Turtwig,Grass,,55,68,64,45,55,31,4,0
388,Grotle,Grass,,75,89,85,55,65,36,4,0
389,Torterra,Grass,Ground,95,109,105,75,85,56,4,0
390,Chimchar,Fire,,44,58,44,58,44,61,4,0
391,Monferno,Fire,Fighting,64,78,52,78,52,81,4,0
392,Infernape,Fire,Fighting,76,104,71,104,71,108,4,0
393,Piplup,Water,,53,51,53,61,56,40,4,0
394,Prinplup,Water,,64,66,68,81,76,50,4,0
395,Empoleon,Water,Steel,84,86,88,111,101,60,4,0
396,Starly,Normal,Flying,40,55,30,30,30,60,4,0
397,Staravia,Normal,Flying,55,75,50,40,40,80,4,0
398,Staraptor,Normal,Flying,85,120,70,50,60,100,4,0
399,Bidoof,Normal,,59,45,40,35,40,31,4,0
400,Bibarel,Normal,Water,79,85,60,55,60,71,4,0
401,Kricketot,Bug,,37,25,41,25,41,25,4,0
402,Kricketune,Bug,,77,85,51,55,51,65,4,0
403,Shinx,Electric,,45,65,34,40,34,45,4,0
404,Luxio,Electric,,60,85,49,60,49,60,4,0
405,Luxray,Electric,,80,120,79,95,79,70,4,0
406,Budew,Grass,Poison,40,30,35,50,70,55,4,0
407,Roserade,Grass,Poison,60,70,65,125,105,90,4,0
408,Cranidos,Rock,,67,125,40,30,30,58,4,0
409,Rampardos,Rock,,97,165,60,65,50,58,4,0
410,Shieldon,Rock,Steel,30,42,118,42,88,30,4,0
411,Bastiodon,Rock,Steel,60,52,168,47,138,30,4,0
412,Burmy,Bug,,40,29,45,29,45,36,4,0
413,Wormadam Plant Cloak,Bug,Grass,60,59,85,79,105,36,4,0
414,Mothim,Bug,Flying,70,94,50,94,50,66,4,0
415,Combee,Bug,Flying,30,30,42,30,42,70,4,0
416,Vespiquen,Bug,Flying,70,80,102,80,102,40,4,0
417,Pachirisu,Electric,,60,45,70,45,90,95,4,0
418,Buizel,Water,,55,65,35,60,30,85,4,0
419,Floatzel,Water,,85,105,55,85,50,115,4,0
420,Cherubi,Grass,,45,35,45,62,53,35,4,0
421,Cherrim,Grass,,70,60,70,87,78,85,4,0
422,Shellos,Water,,76,48,48,57,62,34,4,0
423,Gastrodon,Water,Ground,111,83,68,92,82,39,4,0
424,Ambipom,Normal,,75,100,66,60,66,115,4,0
425,Drifloon,Ghost,Flying,90,50,34,60,44,70,4,0
426,Drifblim,Ghost,Flying,150,80,44,90,54,80,4,0
427,Buneary,Normal,,55,66,44,44,56,85,4,0
428,Lopunny,Normal,,65,76,84,54,96,105,4,0
429,Mismagius,Ghost,,60,60,60,105,105,105,4,0
430,Honchkrow,Dark,Flying,100,125,52,105,52,71,4,0
431,Glameow,Normal,,49,55,42,42,37,85,4,0
432,Purugly,Normal,,71,82,64,64,59,112,4,0
433,Chingling,Psychic,,45,30,50,65,50,45,4,0
434,Stunky,Poison,Dark,63,63,47,41,41,74,4,0
435,Skuntank,Poison,Dark,103,93,67,71,61,84,4,0
436,Bronzor,Steel,Psychic,57,24,86,24,86,23,4,0
437,Bronzong,Steel,Psychic,67,89,116,79,116,33,4,0
438,Bonsly,Rock,,50,80,95,10,45,10,4,0
439,Mime Jr.,Psychic,Fairy,20,25,45,70,90,60,4,0
440,Happiny,Normal,,100,5,5,15,65,30,4,0
441,Chatot,Normal,Flying,76,65,45,92,42,91,4,0
442,Spiritomb,Ghost,Dark,50,92,108,92,108,35,4,0
443,Gible,Dragon,Ground,58,70,45,40,45,42,4,0
444,Gabite,Dragon,Ground,68,90,65,50,55,82,4,0
445,Garchomp,Dragon,Ground,108,130,95,80,85,102,4,0
446,Munchlax,Normal,,135,85,40,40,85,5,4,0
447,Riolu,Fighting,,40,70,40,35,40,60,4,0
448,Lucario,Fighting,Steel,70,110,70,115,70,90,4,0
449,Hippopotas,Ground,,68,72,78,38,42,32,4,0
450,Hippowdon,Ground,,108,112,118,68,72,47,4,0
451,Skorupi,Poison,Bug,40,50,90,30,55,65,4,0
452,Drapion,Poison,Dark,70,90,110,60,75,95,4,0
453,Croagunk,Poison,Fighting,48,61,40,61,40,50,4,0
454,Toxicroak,Poison,Fighting,83,106,65,86,65,85,4,0
455,Carnivine,Grass,,74,100,72,90,72,46,4,0
